MainID,Country ID2,Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body],Country of Residence,Profession
435,1478,"BROWNE, Rev. Francis M.",32,1st Class PassengerCross Channel Passenger,,Southampton,,,Ireland,0
454,914,"NICHOLS, Mrs Emily",48,1st Class PassengerCross Channel Passenger,103£4,Southampton,,,England,0
459,928,"ODELL, Mrs Lily",40,1st Class PassengerCross Channel Passenger,84£24,Southampton,,,England,0
465,268,"BREWER, Mr B.",24,Engineering CrewDeserted,,Southampton,Trimmer,,England,Trimmer
466,358,"COFFEY, Mr John",23,Engineering CrewDeserted,,Southampton,Fireman,,England,Fireman
467,668,"HOLDEN, Mr Frank",29,Engineering CrewDeserted,,Southampton,Fireman,,England,Fireman
468,964,"PENNEY, Mr Alfred",28,Engineering CrewDeserted,,Southampton,Trimmer,,England,Trimmer
469,1119,"SHAW, Mr James",40,Engineering CrewDeserted,,Southampton,Fireman,,England,Fireman
470,1140,"SLADE, Mr Alfred Edward",25,Engineering CrewDeserted,,Southampton,Fireman,,England,Fireman
471,1141,"SLADE, Mr Bertram",28,Engineering CrewDeserted,,Southampton,Fireman,,England,Fireman
472,1142,"SLADE, Mr Thomas",28,Engineering CrewDeserted,,Southampton,Fireman,,England,Fireman
473,427,"DAWES, Mr W. W.",38,Victualling CrewDischarged Crew,,Southampton,First Class Saloon Steward,,England,First Class Saloon Steward
474,485,"ETTLINGER, Mr Peter",31,Victualling CrewDischarged Crew,,Southampton,Second Class Saloon Steward,,England,Second Class Saloon Steward
475,238,"BLAKE, Mr C.",36,Engineering CrewFailed to Join Ship,,Southampton,Trimmer,,England,Trimmer
476,258,"BOWMAN, Mr F. T.",38,Victualling CrewFailed to Join Ship,,Southampton,Assistant Cook,,England,Assistant Cook
477,315,"CARTER, Mr F.",27,Engineering CrewFailed to Join Ship,,Southampton,Trimmer,,England,Trimmer
478,428,"DAWKINS, Mr P.",24,Victualling CrewFailed to Join Ship,,Southampton,Assistant Cook,,England,Assistant Cook
