Name,Age,Class/Dept,Ticket,Joined,Job,Boat [Body]
"ABBING, Mr Anthony",41,3rd Class Passenger,5547£7 11s,Southampton,Blacksmith,
"ABBOTT, Mrs Rhoda Mary 'Rosa'",39,3rd Class Passenger,CA2673£20 5s,Southampton,,A 
"ABBOTT, Mr Rossmore Edward",16,3rd Class Passenger,CA2673£20 5s,Southampton,Jeweller,[190]
"ABBOTT, Mr Eugene Joseph",13,3rd Class Passenger,CA2673£20 5s,Southampton,Scholar,
"ABBOTT, Mr Ernest Owen",21,Victualling Crew,,Southampton,Lounge Pantry Steward,
"ABELSETH, Miss Kalle (Karen) Marie Kristiane",16,3rd Class Passenger,348125£7 13s,Southampton,,16* 
"ABELSETH, Mr Olaus Jørgensen",25,3rd Class Passenger,348122£7 13s,Southampton,Farmer,A 
"ABELSON, Mr Samuel",30,2nd Class Passenger,3381£24,Cherbourg,,
"ABELSON, Mrs Anna",28,2nd Class Passenger,3381£24,Cherbourg,,
"AB? SA'B, Mr Jirjis Y?suf",45,3rd Class Passenger,2685£7 4s 6d,Cherbourg,Shoemaker,[312]
"AB? SA'B, Mrs Sha'n?nah",38,3rd Class Passenger,2688£7 4s 7d,Cherbourg,,
"AB? SHAD?D, Mr D?hir",19,3rd Class Passenger,2698£7 4s 6d,Cherbourg,,[9]
"AB?-AL-MUNÀ, Mr N?s?f Q?sim",27,3rd Class Passenger,2699£18 15s 9d,Cherbourg,,
"ABRAHAMSSON, Mr August Abraham Johannes",19,3rd Class Passenger,3101284£7 18s 6d,Southampton,,15
"ABRAMS, Mr William Thomas",34,Engineering Crew,,Southampton,Fireman,
"ÅDAHL, Mr Mauritz",30,3rd Class Passenger,7076£7 5s,Southampton,Carpenter / Joiner,[72]
"ADAMS, Mr Robert John",26,Engineering Crew,,Southampton,Fireman,
"ADAMS, Mr John",26,3rd Class Passenger,341826£8 1s,Southampton,,[103]
"AHIER, Mr Percy Snowden",20,Victualling Crew,,Southampton,Saloon Steward,
"AHLIN, Mrs Johanna Persdotter",40,3rd Class Passenger,7546£9 9s 6d,Southampton,,
"AHMED, Mr Ali",24,3rd Class Passenger,3101311£7 1s,Southampton,General Labourer,
"ÄIJÖ-NIRVA, Mr Isakki Antonpoika",41,3rd Class Passenger,3101272£7 2s 6d,Southampton,General Labourer,
"AKERMAN, Mr Albert Edward",31,Victualling Crew,,Southampton,3rd Class Steward,
"AKERMAN, Mr Joseph Francis",37,Victualling Crew,,Southampton,Assistant Pantryman Steward,[205]
"AKS, Mrs Leah",21,3rd Class Passenger,392091£9 7s,Southampton,,
"AKS, Master Philip",10m,3rd Class Passenger,392091£9 7s,Southampton,,
"AL-BA'QL?N?, Mrs La??fah",23,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
"AL-BA'QL?N?, Miss M?r?y?",5,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
"AL-BA'QL?N?, Miss ?wj?n?y?",3,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
"AL-BA'QL?N?, Miss Hil?nah",2,3rd Class Passenger,2666£19 5s 2d,Cherbourg,,
"AL-MUNÀ, Mr Far?d Husayn Q?sim",19,3rd Class Passenger,2700£7 4s 7d,Cherbourg,Farmer,
"AL-ZA'INN?, Mr Fah?m R???n?",25,3rd Class Passenger,2620£7 4s 6d,Cherbourg,General Labourer,6* 
"ALDWORTH, Mr Augustus Henry",35,2nd Class PassengerServant,248744£13,Southampton,Chauffeur,
"ALEXANDER, Mr William Albert",24,3rd Class Passenger,3474£7 17s 9d,Southampton,General Labourer,
"ALHOMÄKI, Mr Ilmari Rudolf",19,3rd Class Passenger,3101287£7 18s 6d,Southampton,General Labourer,
"ALI, Mr William",25,3rd Class Passenger,3101312£7 1s,Southampton,General Labourer,[79]
"ALLARIA, Sig. Battista Antonio",22,Restaurant Staff,,Southampton,Assistant Waiter,[221]
"ALLEN, Miss Elisabeth Walton",29,1st Class Passenger,24160£211 6s 9d,Southampton,,2
"ALLEN, Mr Henry",30,Engineering Crew,,Southampton,Fireman,[145]
"ALLEN, Mr Ernest Frederick",24,Engineering Crew,,Southampton,Trimmer,
"ALLEN, Mr William Henry",39,3rd Class Passenger,373450£8 1s,Southampton,Tool Maker,
"ALLEN, Mr George",26,Victualling Crew,,Southampton,Scullion,
"ALLEN, Mr Robert Spencer",35,Victualling Crew,,Southampton,Bedroom Steward (1st Class),
"ALLISON, Mr Hudson Joshua Creighton",30,1st Class Passenger,113781£151 16s,Southampton,Businessman,[135]
"ALLISON, Mrs Bess Waldo",25,1st Class Passenger,113781£151 16s,Southampton,,
"ALLISON, Miss Helen Loraine",2,1st Class Passenger,113781£151 16s,Southampton,,
"ALLISON, Master Hudson Trevor",11m,1st Class Passenger,113781£151 16s,Southampton,,11
"ALLSOP, Mr Alfred Samuel",36,Engineering Crew,,Belfast,2nd Electrician,
"ALLSOP, Mr Frank Richard",43,Victualling Crew,,Belfast,Saloon Steward,
"ALLUM, Mr Owen George",17,3rd Class Passenger,2223£8 6s,Southampton,Gardener,[259]
"ANDERSEN, Mr Albert Kaurin",33,3rd Class Passenger,4001£22 10s 6d,Southampton,Engineer,[260]
"ANDERSEN (JENSEN), Miss Carla Christine Nielsine",19,3rd Class Passenger,350046£7 17s 1d,Southampton,,16
"ANDERSON, Mr Harry",42,1st Class Passenger,19952£26 11s,Southampton,Stockbroker,3* 
"ANDERSON, Mr John",42,Deck Crew,,Southampton,Able Seaman,
"ANDERSON, Mr Walter Yuill",50,Victualling Crew,,Southampton,Bed Room Steward,[146]
"ANDERSSON, Miss Erna Alexandra",16,3rd Class Passenger,3101281£7 18s 6d,Southampton,,
"ANDERSSON, Mr Johan Samuel",26,3rd Class Passenger,347075£7 15s 6d,Southampton,Carpenter / Joiner,
"ANDERSSON, Miss Ida Augusta Margareta",38,3rd Class Passenger,347091£7 15s 6d,Southampton,,
"ANDERSSON, Mr Anders Johan",39,3rd Class Passenger,347082£31 5s 6d,Southampton,General Labourer,
"ANDERSSON, Mrs Alfrida Konstantia Brogren",39,3rd Class Passenger,347082£31 5s 6d,Southampton,,
"ANDERSSON, Miss Sigrid Elisabeth",11,3rd Class Passenger,347082£31 5s 6d,Southampton,,
"ANDERSSON, Miss Ingeborg Constanzia",9,3rd Class Passenger,347082£31 5s 6d,Southampton,,
"ANDERSSON, Miss Ebba Iris Alfrida",6,3rd Class Passenger,347082£31 5s 6d,Southampton,,
"ANDERSSON, Master Sigvard Harald Elias",4,3rd Class Passenger,347082£31 5s 6d,Southampton,,
"ANDERSSON, Miss Ellis Anna Maria",2,3rd Class Passenger,347082£31 5s 6d,Southampton,,
"ANDREASSON, Mr Pål Edvin",20,3rd Class Passenger,347466£7 17s 1d,Southampton,General Labourer,
"ANDREW, Mr Edgar Samuel",17,2nd Class Passenger,231945£11 10s,Southampton,,
"ANDREW, Mr Frank Thomas",26,2nd Class Passenger,34050£10 10s,Southampton,Miner,
"ANDREWS, Miss Cornelia Theodosia",62,1st Class Passenger,13502£77 19s 2d,Cherbourg,,10
"ANDREWS, Mr Thomas",39,1st Class PassengerH&W Guarantee Group,112050,Belfast,Shipbuilder,
"ANDREWS, Mr Charles Edward",19,Victualling Crew,,Southampton,Saloon Steward (2nd class),16
"ANDREWS, Mr Archibald",40,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"ANGLE, Mr William",31,2nd Class Passenger,226875£26,Southampton,Tile Maker,
"ANGLE, Mrs Florence Agnes",36,2nd Class Passenger,226875£26,Southampton,,11* 
"APPLETON, Mrs Charlotte",53,1st Class Passenger,11769£51 9s 7d,Southampton,,2
"ARCHER, Mr Ernest Edward",35,Deck Crew,,Southampton,Able Seaman,16
"ARMSTRONG, Mr James",31,Engineering Crew(Delivery trip only),,Belfast,Fireman,
"ARNOLD-FRANCHI, Mr Josef",25,3rd Class Passenger,349237£17 16s,Southampton,General Labourer,
"ARNOLD-FRANCHI, Mrs Josefine",18,3rd Class Passenger,349237£17 16s,Southampton,,
"ARONSSON, Mr Ernst Axel Algot",25,3rd Class Passenger,349911£7 15s 6d,Southampton,General Labourer,
"ARTAGAVEYTIA, Mr Ramon",71,1st Class Passenger,17609£49 10s 1d,Cherbourg,Businessman,[22]
"ASHBY, Mr John",57,2nd Class Passenger,244346£13,Southampton,,
"ASHCROFT, Mr Austin Aloysius",26,Victualling Crew,,Southampton,Clerk,
"ASHE, Mr Henry Wellesley",41,Victualling Crew,,Southampton,Glory hole steward (3rd class),[34]
"ASIM, Mr Adola",35,3rd Class Passenger,3101310£7 1s,Southampton,General Labourer,
"ASPESLAGH, Mr Georges",26,Restaurant Staff,,Southampton,Assistant Plateman,
"ASPLUND, Master Edvin Rojj Felix",3,3rd Class Passenger,347077£31 7s 9d,Southampton,,10* 
"ASPLUND, Mr Johan Charles",23,3rd Class Passenger,350054£7 15s 11d,Southampton,,13* 
"ASPLUND, Mr Carl Oscar Vilhelm Gustafsson",40,3rd Class Passenger,347077£31 7s 9d,Southampton,General Labourer,[142]
"ASPLUND, Mrs Selma Augusta Emilia",38,3rd Class Passenger,347077£31 7s 9d,Southampton,,10* 
