Name,Born,Died,Age,Age at Death,Gender,Marital Status,Category,Class,Group,Ticket,Cabin,Embarked,Disembarked
Brewer B.,1888,,24,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Coffey John,1889,1957,23,68,Male,Married,Crew,Engine,Deserted,,,Southampton,Queenstown
Holden Frank,1883,,29,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Penney Alfred,1884,,28,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Shaw James,1872,,40,,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Slade Alfred Edward,1887,1965,25,78,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Slade Bertram,1884,1943,28,59,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Slade Thomas,1883,1933,28,49,Male,,Crew,Engine,Deserted,,,Southampton,Southampton
Dawes W. W.,1874,,38,,Male,,Crew,Victualling,Discharged Crew,,,Southampton,Southampton
Ettlinger Peter,1881,1962,31,81,Male,,Crew,Victualling,Discharged Crew,,,Southampton,Southampton
Blake C.,1876,,36,,Male,,Crew,Engine,Failed to Join Ship,,,Southampton,Southampton
Bowman F. T.,1874,,38,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Carter F.,1885,,27,,Male,,Crew,Engine,Failed to Join Ship,,,Southampton,Southampton
Dawkins P.,1888,,24,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Di Napoli E.,1888,,24,,Male,,Crew,A la Carte,Failed to Join Ship,,,Southampton,Southampton
Fish B.,1874,,38,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Fisher R.,1888,,24,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Manly A.,1889,,23,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Mewe W. J.,1877,,35,,Male,,Crew,Victualling,Failed to Join Ship,,,Southampton,Southampton
Kilford P.,1883,,29,,Male,,Crew,Victualling,Left Ship Sick,,,Southampton,Southampton
Burrows W.,1883,,29,,Male,,Crew,Engine,Left with Consent,,,Southampton,Southampton
Sims W.,1882,,30,,Male,,Crew,Engine,Left with Consent,,,Southampton,Southampton
Gwinn William Logan,1875,1912,37,37,Male,Married,Crew,Victualling,Postal Clerk,,,Southampton,
March John Starr,1861,1912,50,50,Male,Widowed,Crew,Victualling,Postal Clerk,,,Southampton,
Smith John Richard Jago,1877,1912,35,35,Male,Engaged,Crew,Victualling,Postal Clerk,,,Southampton,
Williamson James Bertram,1876,1912,35,35,Male,Single,Crew,Victualling,Postal Clerk,,,Southampton,
Woody Oscar Scott,1871,1912,41,41,Male,Married,Crew,Victualling,Postal Clerk,,,Southampton,
Black D.,1871,1912,41,41,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Brown Joseph,1882,1912,30,30,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Cotton Alfred,1876,1912,35,35,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Dickson William,1875,1912,37,37,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Dodds Henry Watson,1885,1912,26,26,Male,Engaged,Crew,Engine,Substitute Crew,,,Southampton,
Geer Alfred Emest,1886,1912,26,26,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Gordon John,1882,1912,30,30,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Hosgood Richard William,1889,1912,22,22,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Kinsella Louis,1881,1912,30,30,Male,Married,Crew,Engine,Substitute Crew,,,Southampton,
Lloyd William,1883,1912,29,29,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Locke Albert George,1879,1912,33,33,Male,,Crew,Victualling,Substitute Crew,,,Southampton,
O'Connor John,1882,1933,29,51,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,New York City
Steel Robert Edward,1882,1912,30,30,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Windebank Alfred Edgar,1873,1961,38,87,Male,Single,Crew,Victualling,Substitute Crew,,,Southampton,New York City
Witt Henry Dennis,1874,1912,37,37,Male,Single,Crew,Engine,Substitute Crew,,,Southampton,
Boxhall Joseph Groves,1884,1967,28,83,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,New York City
Haddock Herbert James,1861,1946,51,85,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,Belfast
Lightoller Charles Herbert,1874,1952,38,78,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,New York City
Lowe Harold Godfrey,1882,1944,29,61,Male,Single,Crew,Deck,Titanic Officers,,,Belfast,New York City
Moody James Paul,1887,1912,24,24,Male,Single,Crew,Deck,Titanic Officers,,,Belfast,
Murdoch William McMaster,1873,1912,39,39,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,
Pitman Herbert John,1877,1961,34,84,Male,Married,Crew,Deck,Titanic Officers,,,Belfast,New York City
Smith Edward John,1850,1912,62,62,Male,Married,Crew,Deck,Titanic Officers,,,Southampton,
Wilde Henry Tingle,1872,1912,39,39,Male,Widowed,Crew,Deck,Titanic Officers,,,Southampton,
Blair David,1874,1955,37,80,Male,Married,Crew,Deck,Transferred,,,Belfast,Southampton
Haveling A.,1886,,26,,Male,,Crew,Engine,Transferred,,,Southampton,Southampton
Abbott Ernest Owen,1891,1912,21,21,Male,Single,Crew,Victualling,,,,Southampton,
Abrams William Thomas,1878,1912,34,34,Male,Married,Crew,Engine,,,,Southampton,
Adams Robert John,1885,1912,26,26,Male,Single,Crew,Engine,,,,Southampton,
Ahier Percy Snowden,1892,1912,20,20,Male,Single,Crew,Victualling,,,,Southampton,
Akerman Albert Edward,1880,1912,31,31,Male,Single,Crew,Victualling,,,,Southampton,
Akerman Joseph Francis,1874,1912,37,37,Male,Married,Crew,Victualling,,,,Southampton,
Allaria Battista Antonio,1889,1912,22,22,Male,Single,Crew,A la Carte,,,,Southampton,
Allen Ernest Frederick,1888,1968,24,80,Male,Single,Crew,Engine,,,,Southampton,New York City
Allen George,1886,1912,26,26,Male,Married,Crew,Victualling,,,,Southampton,
Allen Henry,1882,1912,30,30,Male,Married,Crew,Engine,,,,Southampton,
Allen Robert Spencer,1876,1912,35,35,Male,Married,Crew,Victualling,,,,Southampton,
Allsop Alfred Samuel,1876,1912,36,36,Male,Married,Crew,Engine,,,,Belfast,
Allsop Frank Richard,1868,1912,43,43,Male,Married,Crew,Victualling,,,,Belfast,
Anderson John,1870,,42,,Male,Single,Crew,Deck,,,,Southampton,New York City
Anderson Walter Yuill,1861,1912,50,50,Male,Single,Crew,Victualling,,,,Southampton,
Andrews Archibald,1872,,40,,Male,,Crew,Engine,,,,Belfast,Southampton
Andrews Charles Edward,1893,1961,19,67,Male,Single,Crew,Victualling,,,,Southampton,New York City
Archer Ernest Edward,1876,1917,35,41,Male,Married,Crew,Deck,,,,Southampton,New York City
Armstrong James,1881,,31,,Male,,Crew,Engine,,,,Belfast,Southampton
Ashcroft Austin Aloysius,1885,1912,26,26,Male,Single,Crew,Victualling,,,,Southampton,
Ashe Henry Wellesley,1871,1912,41,41,Male,Married,Crew,Victualling,,,,Southampton,
Aspeslagh Georges,1885,1912,26,26,Male,Single,Crew,A la Carte,,,,Southampton,
Auld James,1880,,32,,Male,,Crew,Engine,,,,Belfast,Southampton
Avery James Albert,1891,1915,20,24,Male,Single,Crew,Engine,,,,Southampton,New York City
